state_code,Please Select State,short_name,active_status,creation_date,last_updated,flag
1,Jammu and Kashmir,JK,1,15-08-2016 01:49,07-12-2016 22:30,1
2,Himachal Pradesh,HP,1,15-08-2016 01:49,07-12-2016 22:30,1
3,Punjab,PB,1,15-08-2016 01:49,07-12-2016 22:30,1
4,Chandigarh,CH,1,15-08-2016 01:49,07-12-2016 22:30,1
5,Uttarakhand,UK,1,15-08-2016 01:49,07-12-2016 22:30,1
6,Haryana,HR,1,15-08-2016 01:49,07-12-2016 22:30,1
7,Delhi,DL,1,15-08-2016 01:49,07-12-2016 22:30,1
8,Rajasthan,RJ,1,15-08-2016 01:49,07-12-2016 22:30,1
9,Uttar Pradesh,UP,1,15-08-2016 01:49,07-12-2016 22:30,1
10,Bihar,BR,1,15-08-2016 01:49,07-12-2016 22:30,1
11,Sikkim,SK,1,15-08-2016 01:49,07-12-2016 22:30,1
12,Arunachal Pradesh,AN,1,15-08-2016 01:49,07-12-2016 22:30,1
13,Nagaland,NG,1,15-08-2016 01:49,07-12-2016 22:31,1
14,Manipur,MN,1,15-08-2016 01:49,07-12-2016 22:31,1
15,Mizoram,MZ,1,15-08-2016 01:49,07-12-2016 22:31,1
16,Tripura,TR,1,15-08-2016 01:49,07-12-2016 22:31,1
17,Meghalaya,MG,1,15-08-2016 01:49,07-12-2016 22:31,1
18,Assam,AS,1,15-08-2016 01:49,07-12-2016 22:31,1
19,West Bengal,WB,1,15-08-2016 01:49,07-12-2016 22:31,1
20,Jharkhand,JH,1,15-08-2016 01:49,07-12-2016 22:31,1
21,Odisha,OR,1,15-08-2016 01:49,07-12-2016 22:31,1
22,Chhattisgarh,CG,1,15-08-2016 01:49,07-12-2016 22:31,1
23,Madhya Pradesh,MP,1,15-08-2016 01:49,07-12-2016 22:31,1
24,Gujarat,GJ,1,15-08-2016 01:49,07-12-2016 22:31,1
25,Daman and Diu,DD,1,15-08-2016 01:49,07-12-2016 22:31,1
26,Dadra and Nagar Haveli,DN,1,15-08-2016 01:49,07-12-2016 22:31,1
27,Maharashtra,MH,1,15-08-2016 01:49,07-12-2016 22:31,1
28,Andhra Pradesh,AP,1,15-08-2016 01:49,07-12-2016 22:31,1
29,Karnataka,KA,1,15-08-2016 01:49,07-12-2016 22:31,1
30,Goa,GA,1,15-08-2016 01:49,07-12-2016 22:31,1
31,Lakshadweep,LK,1,15-08-2016 01:49,07-12-2016 22:32,1
32,Kerala,KL,1,15-08-2016 01:49,07-12-2016 22:32,1
33,Tamil Nadu,TN,1,15-08-2016 01:49,07-12-2016 22:32,1
34,Puducherry,PY,1,15-08-2016 01:49,07-12-2016 22:32,1
35,Andaman and Nicobar Islands,AD,1,15-08-2016 01:49,07-12-2016 22:32,1
36,Telangana,TL,1,15-08-2016 01:49,07-12-2016 22:32,1
